#TYPE Selected.Microsoft.Azure.Commands.Insights.OutputClasses.PSMetricDefinitionNoDetails
"Unit","PrimaryAggregationType","$_.Name.Value"
"Percent","Average","Percentage CPU"
"Bytes","Total","Network In"
"Bytes","Total","Network Out"
"Bytes","Total","Disk Read Bytes"
"Bytes","Total","Disk Write Bytes"
"CountPerSecond","Average","Disk Read Operations/Sec"
"CountPerSecond","Average","Disk Write Operations/Sec"
"Count","Average","CPU Credits Remaining"
"Count","Average","CPU Credits Consumed"
"CountPerSecond","Average","Per Disk Read Bytes/sec"
"CountPerSecond","Average","Per Disk Write Bytes/sec"
"CountPerSecond","Average","Per Disk Read Operations/Sec"
"CountPerSecond","Average","Per Disk Write Operations/Sec"
"Count","Average","Per Disk QD"
"CountPerSecond","Average","OS Per Disk Read Bytes/sec"
"CountPerSecond","Average","OS Per Disk Write Bytes/sec"
"CountPerSecond","Average","OS Per Disk Read Operations/Sec"
"CountPerSecond","Average","OS Per Disk Write Operations/Sec"
"Count","Average","OS Per Disk QD"
"CountPerSecond","Average","Data Disk Read Bytes/sec"
"CountPerSecond","Average","Data Disk Write Bytes/sec"
"CountPerSecond","Average","Data Disk Read Operations/Sec"
"CountPerSecond","Average","Data Disk Write Operations/Sec"
"Count","Average","Data Disk Queue Depth"
"CountPerSecond","Average","OS Disk Read Bytes/sec"
"CountPerSecond","Average","OS Disk Write Bytes/sec"
"CountPerSecond","Average","OS Disk Read Operations/Sec"
"CountPerSecond","Average","OS Disk Write Operations/Sec"
"Count","Average","OS Disk Queue Depth"
"Count","Average","Inbound Flows"
"Count","Average","Outbound Flows"
"Percent","Average","Premium Data Disk Cache Read Hit"
"Percent","Average","Premium Data Disk Cache Read Miss"
"Percent","Average","Premium OS Disk Cache Read Hit"
"Percent","Average","Premium OS Disk Cache Read Miss"
