#TYPE Selected.System.Management.Automation.PSCustomObject
"$_.Properties.displayName","ResourceId","$_.Properties.description"
"Audit virtual machines without disaster recovery configured","/providers/Microsoft.Authorization/policyDefinitions/0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56","Audit virtual machines which do not have disaster recovery configured. To learn more about disaster recovery, visit https://aka.ms/asr-doc."
"[Preview]: Audit Web Sockets state for a Function App","/providers/Microsoft.Authorization/policyDefinitions/001802d1-4969-4c82-a700-c29c6c6f9bbd","The Web Sockets protocol is vulnerable to different types of security threats. Use of Web Sockets within an Function app must be carefully reviewed."
"[Preview]: Deploy Log Analytics Agent for Linux VMs","/providers/Microsoft.Authorization/policyDefinitions/053d3325-282c-4e5c-b944-24faffd30d77","Deploy Log Analytics Agent for Linux VMs if the VM Image (OS) is in the list defined and the agent is not installed."
"Audit enabling of diagnostic logs in Azure Data Lake Store","/providers/Microsoft.Authorization/policyDefinitions/057ef27e-665e-4328-8ea3-04b3122bd9fb","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"Audit SQL DB Level Audit Setting","/providers/Microsoft.Authorization/policyDefinitions/06a78e20-9358-41c9-923c-fb736d382a12","Audit DB level audit setting for SQL databases"
"Audit VMs that do not use managed disks","/providers/Microsoft.Authorization/policyDefinitions/06a78e20-9358-41c9-923c-fb736d382a4d","This policy audits VMs that do not use managed disks"
"[Preview]:  Audit CORS resource access restrictions for a Function App","/providers/Microsoft.Authorization/policyDefinitions/0820b7b9-23aa-4725-a1ce-ae4558f718e5","Cross origin Resource Sharing (CORS) should not allow all domains to access your Function app. Allow only required domains to interact with your Function app."
"[Preview]: Deploy Log Analytics Agent for Windows VMs","/providers/Microsoft.Authorization/policyDefinitions/0868462e-646c-4fe3-9ced-a733534b6a2c","Deploy Log Analytics Agent for Windows VMs if the VM Image (OS) is in the list defined and the agent is not installed."
"[Preview]: Audit Web Applications that are not using latest supported PHP Framework","/providers/Microsoft.Authorization/policyDefinitions/08b17839-76c6-4015-90e0-33d9d54d219c","Use the latest supported PHP version for the latest security classes. Using older classes and types can make your application vulnerable."
"[Preview]: Audit minimum number of owners for subscription","/providers/Microsoft.Authorization/policyDefinitions/09024ccc-0c5f-475e-9457-b7c0d9ed487b","It is recommended to designate more than one subscription owner in order to have administrator access redundancy."
"[Preview]: Monitor unencrypted VM Disks in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/0961003e-5a0a-4549-abde-af6a37f2724d","VMs without an enabled disk encryption will be monitored by Azure Security Center as recommendations"
"Audit resource location matches resource group location","/providers/Microsoft.Authorization/policyDefinitions/0a914e76-4921-4c19-b460-a2d36003525a","Audit that the resource location matches its resource group location"
"[Preview]: Audit remote debugging state for a Function App","/providers/Microsoft.Authorization/policyDefinitions/0e60b895-3786-45da-8377-9c6b4b6ac5f9","Remote debugging requires inbound ports to be opened on an function app.  Remote debugging should be turned off."
"[Preview]: Audit Dependency Agent Deployment - VM Image (OS) unlisted","/providers/Microsoft.Authorization/policyDefinitions/11ac78e3-31bc-4f0c-8434-37ab963cea07","Reports VMs as non-compliant if the VM Image (OS) is not in the list defined and the agent is not installed."
"[Preview]: Deploy VM extension to audit application inside Windows VMs must be present","/providers/Microsoft.Authorization/policyDefinitions/12f7e5d0-42a7-4630-80d8-54fb7cff9bd6","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to audit applications inside Windows VMs must be present."
"[Preview]: Deploy VM extension to audit Windows VM minimum password age 1 day","/providers/Microsoft.Authorization/policyDefinitions/16390df4-2f73-4b42-af13-c801066763df","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to check settings inside the virtual machine. This security setting determines the period of time (in days) that a password must be used before the user can change it."
"Audit transparent data encryption status","/providers/Microsoft.Authorization/policyDefinitions/17k78e20-9358-41c9-923c-fb736d382a12","Audit transparent data encryption status for SQL databases"
"[Preview]: Deploy Dependency Agent for Windows VMs","/providers/Microsoft.Authorization/policyDefinitions/1c210e94-a481-4beb-95fa-1571b434fb04","Deploy Dependency Agent for Windows VMs if the VM Image (OS) is in the list defined and the agent is not installed."
"Audit use of classic virtual machines","/providers/Microsoft.Authorization/policyDefinitions/1d84d5fb-01f6-4d12-ba4f-4a26081d403d","Use new Azure Resource Manager v2 for your virtual machines to provide security enhancements such as: stronger access control (RBAC), better auditing, ARM-based deployment and governance, access to managed identities, access to key vault for secrets, Azure AD-based authentication and support for tags and resource groups for easier security management"
"[Preview]: Audit API Applications that are not using latest supported .NET Framework","/providers/Microsoft.Authorization/policyDefinitions/1de7b11d-1870-41a5-8181-507e7c663cfb","Use the latest supported .NET Framework version for the latest security classes. Using older classes and types can make your application vulnerable."
"Enforce tag and its value","/providers/Microsoft.Authorization/policyDefinitions/1e30110a-5ceb-460c-a204-c1c3969c6d62","Enforces a required tag and its value. Does not apply to resource groups."
"Audit provisioning of an Azure Active Directory administrator for SQL server","/providers/Microsoft.Authorization/policyDefinitions/1f314764-cb73-4fc9-b863-8eca98ac36e9","Audit provisioning of an Azure Active Directory administrator for your SQL server to enable Azure AD authentication. Azure AD authentication enables simplified permission management and centralized identity management of database users and other Microsoft services"
"[Preview]: Monitor unprotected web application in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/201ea587-7c90-41c3-910f-c280ae01cfd6","Web applications without a Web Application Firewall protection will be monitored by Azure Security Center as recommendations"
"[Preview]: Audit API Apps that are not using custom domains","/providers/Microsoft.Authorization/policyDefinitions/224da9fe-0d38-4e79-adb3-0a6e2af942ac","Use of custom domains protects a API app from common attacks such as phishing and other DNS-related attacks."
"Audit enabling of only secure connections to your Redis Cache","/providers/Microsoft.Authorization/policyDefinitions/22bee202-a82f-4305-9a2a-6d7f44d4dedb","Audit enabling of only connections via SSL to Redis Cache. Use of secure connections ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking"
"[Preview]: Deploy VM extension to audit Windows VM passwords must be at least 14 characters","/providers/Microsoft.Authorization/policyDefinitions/23020aa6-1135-4be2-bae2-149982b06eca","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to check settings inside the virtual machine. This security setting determines the least number of characters that a password for a user account may contain."
"[Preview]: Audit Windows VM maximum password age 70 days","/providers/Microsoft.Authorization/policyDefinitions/24dde96d-f0b1-425e-884f-4a1421e2dcdc","This security setting determines the period of time (in days) that a password can be used before the system requires the user to change it."
"Audit configuration of metric alert rules on Batch accounts","/providers/Microsoft.Authorization/policyDefinitions/26ee67a2-f81a-4ba8-b9ce-8550bd5ee1a7","Audit configuration of metric alert rules on Batch account to enable the required metric"
"Deploy default Microsoft IaaSAntimalware extension for Windows Server","/providers/Microsoft.Authorization/policyDefinitions/2835b622-407b-4114-9198-6f7064cbe0dc","This policy deploys a Microsoft IaaSAntimalware extension with a default configuraion when a VM is not configured with the antimalware extension."
"Apply tag and its default value","/providers/Microsoft.Authorization/policyDefinitions/2a0e14a6-b0a6-4fab-991a-187a4f81c498","Applies a required tag and its default value if it is not specified by the user. Does not apply to resource groups."
"[Preview]: Audit Windows VM should not store passwords using reversible encryption","/providers/Microsoft.Authorization/policyDefinitions/2d60d3b7-aa10-454c-88a8-de39d99d17c6","This security setting determines whether the operating system stores passwords using reversible encryption."
"[Preview]: Audit Linux VM allowing remote connections from accounts with no passwords","/providers/Microsoft.Authorization/policyDefinitions/2d67222d-05fd-4526-a171-2ee132ad9e83","This security setting verifies remote connections from accounts with empty passwords is disabled."
"[Preview]: Audit HTTPS only access for a Web Application","/providers/Microsoft.Authorization/policyDefinitions/2fde8a98-6892-426a-83ba-050e640c0ce0","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks."
"[Preview]: Audit Log Analytics Agent Deployment - VM Image (OS) unlisted","/providers/Microsoft.Authorization/policyDefinitions/32133ab0-ee4b-4b44-98d6-042180979d50","Reports VMs as non-compliant if the VM Image (OS) is not in the list defined and the agent is not installed."
"[Preview]: Deploy VM extension to audit Linux VM accounts with no passwords","/providers/Microsoft.Authorization/policyDefinitions/3470477a-b35a-49db-aca5-1073d04524fe","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to check settings inside the virtual machine. For Linux servers this includes Chef Inspec, Ruby, and Python. This security setting verifies there are no accounts without passwords."
"Audit unrestricted network access to storage accounts","/providers/Microsoft.Authorization/policyDefinitions/34c877ad-507e-4c82-993e-3452a6e0ad3c","Audit unrestricted network access in your storage account firewall settings. Instead, configure network rules so only applications from allowed networks can access the storage account. To allow connections from specific internet or on-premise clients, access can be granted to traffic from specific Azure virtual networks or to public internet IP address ranges"
"Audit enabling of diagnostic logs in Logic Apps","/providers/Microsoft.Authorization/policyDefinitions/34f95f76-5386-4de7-b824-0d8478470c9d","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"[Preview]: Deploy VM extension to audit Windows VM maximum password age 70 days","/providers/Microsoft.Authorization/policyDefinitions/356a906e-05e5-4625-8729-90771e0ee934","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to check settings inside the virtual machine. This security setting determines the period of time (in days) that a password can be used before the system requires the user to change it."
