#TYPE Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition
"Name","Id","IsCustom","Description","Actions","NotActions","DataActions","NotDataActions","AssignableScopes"
"AcrImageSigner","6cef56e8-d556-48e5-a04f-b8e64114680f","False","acr image signer","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"AcrPull","7f951dda-4ed3-4680-a7ca-43fe172d538d","False","acr pull","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"AcrPush","8311e382-0749-4cb8-b61a-304f252e45ec","False","acr push","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"AcrQuarantineReader","cdda3590-29a3-44f6-95f2-9f980659eb04","False","acr quarantine data reader","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"AcrQuarantineWriter","c8d4ff99-41c3-41a8-9f60-21dfdad59608","False","acr quarantine data writer","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"API Management Service Contributor","312a565d-c81f-4fd8-895a-4e21e48d571c","False","Can manage service and the APIs","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"API Management Service Operator Role","e022efe7-f5ba-4159-bbe4-b44f577e9b61","False","Can manage service but not the APIs","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"API Management Service Reader Role","71522526-b88f-4d52-b57f-d31fc3546d0d","False","Read-only access to service and APIs","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Application Insights Component Contributor","ae349356-3a1b-4a5e-921d-050484c6347e","False","Can manage Application Insights components","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Application Insights Snapshot Debugger","08954f03-6346-4c2e-81c0-ec3a5cfae23b","False","Gives user permission to use Application Insights Snapshot Debugger features","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Automation Job Operator","4fe576fe-1146-4730-92eb-48519fa6bf9f","False","Create and Manage Jobs using Automation Runbooks.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Automation Operator","d3881f73-407a-4167-8283-e981cbba0404","False","Automation Operators are able to start, stop, suspend, and resume jobs","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Automation Runbook Operator","5fb5aef8-1081-4b8e-bb16-9d5d0385bab5","False","Read Runbook properties - to be able to create Jobs of the runbook.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Azure Kubernetes Service Cluster Admin Role","0ab0b1a8-8aac-4efd-b8c2-3ee1fb270be8","False","List cluster admin credential action.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Azure Kubernetes Service Cluster User Role","4abbcc35-e782-43d8-92c5-2d3f1bd2253f","False","List cluster user credential action.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Azure Maps Data Reader (Preview)","423170ca-a8f6-4b0f-8487-9e4eb8f49bfa","False","Grants access to read map related data from an Azure maps account.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Azure Stack Registration Owner","6f12a6df-dd06-4f3e-bcb1-ce8be600526a","False","Lets you manage Azure Stack registrations.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Backup Contributor","5e467623-bb1f-42f4-a55d-6e525e11384b","False","Lets you manage backup service,but can't create vaults and give access to others","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Backup Operator","00c29273-979b-4161-815c-10b084fb9324","False","Lets you manage backup services, except removal of backup, vault creation and giving access to others","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Backup Reader","a795c7a0-d4a2-40c1-ae25-d81f01202912","False","Can view backup services, but can't make changes","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Billing Reader","fa23ad8b-c56e-40d8-ac0c-ce449e1d2c64","False","Allows read access to billing data","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"BizTalk Contributor","5e3c6656-6cfa-4708-81fe-0de47ac73342","False","Lets you manage BizTalk services, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"CDN Endpoint Contributor","426e0c7f-0c7e-4658-b36f-ff54d6c29b45","False","Can manage CDN endpoints, but can?t grant access to other users.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"CDN Endpoint Reader","871e35f6-b5c1-49cc-a043-bde969a0f2cd","False","Can view CDN endpoints, but can?t make changes.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"CDN Profile Contributor","ec156ff8-a8d1-4d15-830c-5b80698ca432","False","Can manage CDN profiles and their endpoints, but can?t grant access to other users.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"CDN Profile Reader","8f96442b-4075-438f-813d-ad51ab4019af","False","Can view CDN profiles and their endpoints, but can?t make changes.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Classic Network Contributor","b34d265f-36f7-4a0d-a4d4-e158ca92e90f","False","Lets you manage classic networks, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Classic Storage Account Contributor","86e8f5dc-a6e9-4c67-9d15-de283e8eac25","False","Lets you manage classic storage accounts, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Classic Storage Account Key Operator Service Role","985d6b00-f706-48f5-a6fe-d0ca12fb668d","False","Classic Storage Account Key Operators are allowed to list and regenerate keys on Classic Storage Accounts","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Classic Virtual Machine Contributor","d73bb868-a0df-4d4d-bd69-98a00b01fccb","False","Lets you manage classic virtual machines, but not access to them, and not the virtual network or storage account they?re connected to.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"ClearDB MySQL DB Contributor","9106cda0-8a86-4e81-b686-29a22c54effe","False","Lets you manage ClearDB MySQL databases, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Cognitive Services Contributor","25fbc0a9-bd7c-42a3-aa1a-3b75d497ee68","False","Lets you create, read, update, delete and manage keys of Cognitive Services.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Cognitive Services User","a97b65f3-24c7-4388-baec-2e87135dc908","False","Lets you read and list keys of Cognitive Services.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Contributor","b24988ac-6180-42a0-ab88-20f7382dd24c","False","Lets you manage everything except access to resources.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Cosmos DB Account Reader Role","fbdf93bf-df7d-467e-a4d2-9458aa1360c8","False","Can read Azure Cosmos DB Accounts data","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"CosmosBackupOperator","db7b14f2-5adf-42da-9f96-f2ee17bab5cb","False","Can submit restore request for a Cosmos DB database or a container for an account","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Cost Management Contributor","434105ed-43f6-45c7-a02f-909b2ba83430","False","Can view costs and manage cost configuration (e.g. budgets, exports)","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Cost Management Reader","72fafb9e-0641-4937-9268-a91bfd8191a3","False","Can view cost data and configuration (e.g. budgets, exports)","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Data Box Contributor","add466c9-e687-43fc-8d98-dfcf8d720be5","False","Lets you manage everything under Data Box Service except giving access to others.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Data Box Reader","028f4ed7-e2a9-465e-a8f4-9c0ffdfdc027","False","Lets you manage Data Box Service except creating order or editing order details and giving access to others.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Data Factory Contributor","673868aa-7521-48a0-acc6-0f60742d39f5","False","Create and manage data factories, as well as child resources within them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
